Date,Communications,Materials,Financials,BioTech,Semiconductor,Energy,Industrial,Technology,Avg Std
2000,,,,0.015036342297057846,0.015103870509594889,0.01768038446106113,0.01893397571019545,0.01771143747461796,0.014077668408754546
2001,,,0.03779224521398615,0.011788732613103885,0.015232377292878364,0.01808233851858127,0.017291679257291068,0.01639915287094029,0.016655217966683004
2002,,,0.03716261480639933,0.011878272836939712,0.015152165727277475,0.02414083269132745,0.017342926305375254,0.017365184493211346,0.01757742812293294
2003,,,0.024343061016983494,0.008348034515456463,0.010400601406966574,0.015455071376881188,0.01176117272677213,0.009954142772692975,0.011466011973678974
2004,,,0.01915564157696041,0.006148101898774415,0.007768202602345387,0.008875685992358932,0.010726547510982468,0.011136885936032008,0.009115866502493375
2005,,,0.012762316048590102,0.005719695661720121,0.0067525856986395336,0.006305216298917024,0.009761921949032968,0.015628295380015117,0.008132861576702123
2006,0.009635282114162026,0.02138671278752257,0.014911825216880323,0.005518734192757389,0.006296690685924634,0.007401190698451272,0.010927765929081467,0.015666009514115817,0.010193801237655056
2007,0.01015506616899947,0.023404497034553547,0.01301244820154707,0.006352682804455006,0.0072181443222357556,0.010345947901567005,0.013069126411230475,0.015033117493368017,0.010954558926439595
2008,0.020558187564641173,0.04529984899438056,0.025682667154790374,0.013560530146331113,0.01564732515242884,0.02482342177687506,0.025740140006813173,0.03276530816101973,0.022675269884142226
2009,0.018498256926103785,0.03294257770444391,0.023973582488782605,0.010550287511011483,0.012147400715012925,0.01762849715406681,0.02166467378363731,0.02238838082335636,0.01775485078960169
2010,0.013535537868522463,0.01859958536964277,0.017332413544591467,0.007345058032268474,0.009278018032156216,0.010689673557896953,0.015403394358636928,0.014191843340741257,0.011819502678272947
2011,0.01504041760277115,0.01996671994445819,0.018177049165878322,0.008360154808106323,0.010997125978676124,0.012763118475398339,0.017651401224882672,0.01820541169222956,0.013462377654711187
2012,0.009519070396735553,0.019703179055267146,0.014306686939694757,0.0059768031184375256,0.006968600545827618,0.008808025486867599,0.011555170614131489,0.011716831761161116,0.009839374213124757
2013,0.008766735623598372,0.0170656820335801,0.011104430725934773,0.007014876132114918,0.007492860656528042,0.00858403597210028,0.009097635601242564,0.009107406966058692,0.008692629301239749
2014,0.009194614313831864,0.012191172810807619,0.010947734846489608,0.005805510904389309,0.008562239685337732,0.008858816130985223,0.008195211222859456,0.009931741703290009,0.008187449068665646
2015,0.009772825752182055,0.013670042166429293,0.014013724856750578,0.008362025494837194,0.011218902368372629,0.01086813783569705,0.011033991916207436,0.01498964539655172,0.010436588420780884
2016,0.00953675471031348,0.012944926385784102,0.013526586986122902,0.007541296823549268,0.00958398655648537,0.011955780186184033,0.01094955267457017,0.015412654660753582,0.01016128210930699
2017,0.006531165011912896,0.009006298206656273,0.010893373191767008,0.004823402313917094,0.005501663424730131,0.0108561959385864,0.006585742598538163,0.008307356564886867,0.006945021916777204
2018,0.011186446208811514,0.014476787041113751,0.01613874393140761,0.008245583681709518,0.009557169861036097,0.010015503739592896,0.010990028647834613,0.012521901557019674,0.010348018296502852
2019,0.010580992479308155,0.011944290934201025,0.016896201981592834,0.007151008817674975,0.009031986568246705,0.009183946795772144,0.01031953019693717,0.012741117355757956,0.00976100834772122
2020,0.031384173520218016,0.03677312662084845,0.03400435569605839,0.019774814674256232,0.021753392378024938,0.021163163963676464,0.027085860317722494,0.03856741728809266,0.02561181160654418
