Date,CRSP Market Cap,Communications,Materials,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrial,Technology,Real Estate,Utilities,BioTech,Defense,Semiconductor,Home Construction
2000-01-04,-0.0384,,,,,,,,-0.00962733421243922,-0.018823322372593654,-0.027627189675733854,-0.05073285711816822,-0.02815927083927372,-0.030164595481329992,-0.022691531592578307,-0.030083134602387096
2000-01-07,0.0322,,,,,,,,-0.0005689543177741507,0.010686104823748321,0.03810053370305755,0.017456399472181916,0.0633947804114352,0.008601212720494855,0.012208363253013221,0.04710910507684507
2000-01-24,-0.0272,,,,,,,,-0.026399380820295693,-0.03544524150334749,-0.028681754646443625,-0.032633844586537175,-0.02880087508704865,-0.013453356592886268,-0.02984372461388174,-0.0373176150495782
2000-01-28,-0.0267,,,,,,,,-0.017016103772605984,-0.011574155102234918,-0.026478740000746903,-0.035714093075922215,-0.008152283245808523,-0.005293911893548886,-0.020243393390571462,-0.039466353510240526
2000-02-18,-0.03,,,,,,,,-0.03061916358199801,-0.029176062297163408,-0.021919480118296253,-0.0337844770815412,-0.011610859270993035,-0.036747282792784386,-0.02747830946351748,-0.014778590030549932
2000-03-07,-0.0267,,,,,,,,-0.03206097466195157,0.06900616382132219,-0.03990509372338835,-0.02751796077765345,-0.053712935365598846,-0.011641715377696094,-0.018363535512089246,-0.027881227932904373
2000-03-16,0.0473,,,,,,,,0.058738687104110454,0.0430841009078089,0.05413447107960967,0.03482606423398371,0.042945349438409997,0.03902472886984598,0.051627152518363584,0.07363380836077527
2000-04-14,-0.0594,,,,,,,,-0.054830216539800136,-0.021459077645196722,-0.06560856530775971,-0.052348360448246534,-0.04921342652730998,-0.03651226917884509,-0.060381478646430065,-0.07913663037338292
2000-04-17,0.0326,,,,,,,,0.001381269470940305,-0.024123421836138692,0.024348732223098635,0.05429296320757393,0.02875591807088851,-0.015272118022184644,0.008455356967527639,0.0011158285107613075
2000-04-18,0.0286,,,,,,,,-0.018620780456143127,0.0050564559994572544,0.003869827668105952,0.056885925794377235,0.006289351348878869,0.002872277483141117,0.027389210160848165,0.021181830423543158
2000-04-25,0.0342,,,,,,,,0.0013859208476680873,0.0016203850896034933,0.05217405888650073,0.057927113662024965,-0.004678851874280965,0.029735587666186225,0.025174531962313784,0.017989316611507933
2000-05-30,0.0324,,,,-0.21339084378683437,,0.030133651959121988,,0.010885949106355763,0.01416282289966131,0.017915132713156368,0.0649003377582198,-0.005783914672960466,0.007238553476468068,0.041249511687666995,0.007729028879913891
2000-10-12,-0.0265,,,,-0.050433756983851996,-0.015818150212632776,-0.02697349839028218,,-0.018025123615551975,0.015256565575798575,-0.022774995690059807,-0.034639227594395194,0.006153441643075075,-0.013834090457454762,-0.03349803551210817,-0.06981371428025862
2000-10-13,0.0345,,,,0.04398329779526411,0.002096802441371892,0.03583514782110009,,-0.02272768695208416,-0.038251294863612006,0.030894424524888553,0.08424375852460764,-0.012232267100046657,0.015030190575592517,0.018749958569843184,0.020729240218673173
2000-10-19,0.0349,,,,0.03805676887341525,0.007817612080853076,0.030789451591306305,,-0.0017856355426405512,0.004842496270552443,0.01737274330177474,0.08886316981370701,-0.01817089380529835,-0.004882655031078653,0.011655240223429342,0.040972086208853176
2000-12-05,0.0396,,,,0.05317888600937293,0.0,0.020148514689361186,,0.007451451509074225,-0.020895851059072212,0.03646356368004344,0.09464275937891409,-0.007883190701760356,0.006463662913304802,0.026026937303705422,0.02383947489606797
2000-12-20,-0.0312,,,,-0.024938140520941232,-0.0070932624967374736,-0.056123641096516685,,-0.03757685437032643,-0.029511314612885697,-0.03302331571910844,-0.07481059532980183,0.002261022635180465,-0.009232293405376346,-0.04535163104896878,-0.011889039334894935
2001-01-02,-0.0284,,,,-0.02801682001159078,-0.0085583057546742,0.008051503977743568,,-0.019693877265256954,0.002353651230548426,-0.04450090280248453,-0.05788413696724315,-0.013129021389587714,-0.015066257277508655,-0.040710797703060075,-0.0018313131257445825
2001-01-03,0.0506,,,,0.04360583953348085,0.011952517659684192,0.08546351704181765,,0.005952684543463205,-0.030530592670547696,0.04343325719902458,0.16101669849379752,-0.04600879810018477,-0.021032381569631386,0.07889999412757231,0.07889893719994445
2001-01-05,-0.0266,,,,-0.02512434745279002,-0.011228575377994598,-0.03283341732890632,,-0.020758439094405556,0.021500243860081536,-0.02885614107749912,-0.060523586783256644,0.006654529145095456,-0.009921012111009597,-0.02691075513255403,-0.03297899577903529
2001-03-09,-0.025,-0.027577489595146942,,,-0.02005518149752228,-0.001965313586659523,-0.024463667732606553,,-0.00836606493608072,-0.004674324495422932,-0.02110368967237375,-0.06540458075381383,0.006142178446459701,-0.01747735008717255,-0.008668650513906195,-0.010078836579864858
2001-03-12,-0.0433,-0.0867052937358358,,,-0.04589965677384711,-0.01312694850049223,-0.02812131558685549,,-0.039964313817752894,-0.033166937326097545,-0.05472680233935179,-0.05340720423096457,-0.030904365683369406,0.01143534118395606,-0.05001730214720812,-0.0370913255952775
2001-03-14,-0.0259,-0.019076606369187066,,,-0.0438872771804798,-0.009432907221158526,-0.03937400236588384,,-0.02565331179286201,-0.015053523750934716,-0.021022864517221795,-0.024462545187060036,-0.024535678127698968,-0.03440497806040588,-0.01913866692491384,-0.021623770643621643
2001-03-27,0.0255,0.030766405417415488,,,0.029396485575120757,-0.0002683260524763975,0.04345497641158036,,0.02506234924645412,0.005496502122038338,0.01618986712114512,0.03213643338075234,0.02247151832784633,0.036776732342213014,0.02971394132595573,0.021857922979459987
